we	  baby	Поражение    Очки - 21
Иван	  baby	Поражение    Очки - 87
wf	  baby	Поражение    Очки - 48
Ivan	  baby	Поражение    Очки - 21
Ivan	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 50
	  baby	Поражение    Очки - 11
	  baby	Поражение    Очки - 30
	  baby	Поражение    Очки - 115
wd	  baby	Поражение    Очки - 59
w	  baby	Поражение    Очки - 11
23	  baby	Поражение    Очки - 11
	  baby	Поражение    Очки - 21
	  baby	Поражение    Очки - 69
2	  baby	Поражение    Очки - 30
wf	  baby	Поражение    Очки - 69
wd	  baby	Поражение    Очки - 21
w	  baby	Поражение    Очки - 30
s	  baby	Поражение    Очки - 69
w	  baby	Поражение    Очки - 11
	  baby	Поражение    Очки - 78
	  baby	Поражение    Очки - 21
	  baby	Поражение    Очки - 21
	  baby	Поражение    Очки - 21
	  baby	Поражение    Очки - 21
wd	  baby	Поражение    Очки - 21
wd	  hard	Поражение    Очки - 14
wd	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 11
	  hard	Поражение    Очки - 14
	  baby	Поражение    Очки - 11
	  easy	Поражение    Очки - 12
w	  baby	Поражение    Очки - 79
w	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 77
wd	  easy	Поражение    Очки - 315
wd	  easy	Поражение    Очки - 41
wd	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 48
wd	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 78
wd	  baby	Поражение    Очки - 11
wd	  baby	Поражение    Очки - 58
wd	  baby	Поражение    Очки - 20
wd	  baby	Поражение    Очки - 355
wd	  baby	Поражение    Очки - 189
wd	  baby	Поражение    Очки - 248
wd	  baby	Поражение    Очки - 20
